S.No,Parliament Constituency,Winning Candidate,Total Votes,Margin
1,Anakapalle(5),C.M.RAMESH,762069,296530
2,Rajahmundry(8),DAGGUBATI PURANDHESHWARI,726515,239139
3,Narsapuram(9),BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),707343,276802
4,Arunachal West(1),KIREN RIJIJU,205417,100738
5,Arunachal East(2),TAPIR GAO,145581,30421
6,Darrang-Udalguri(4),DILIP SAIKIA,868387,329012
7,Guwahati(5),BIJULI KALITA MEDHI,894887,251090
8,Diphu(6),AMARSING TISSO,334620,147603
9,Karimganj(7),KRIPANATH MALLAH,545093,18360
10,Silchar (8),PARIMAL SUKLABAIDYA,652405,264311
11,Kaziranga(10),KAMAKHYA PRASAD TASA,897043,248947
12,Sonitpur(11),RANJIT DUTTA,775788,361408
13,Lakhimpur(12),PRADAN BARUAH,663122,201257
14,Dibrugarh(13),SARBANANDA SONOWAL,693762,279321
15,Paschim Champaran(2),DR.SANJAY JAISWAL,580421,136568
16,Purvi Champaran(3),RADHA MOHAN SINGH,542193,88287
17,Madhubani(6),ASHOK KUMAR YADAV,553428,151945
18,Araria(9),PRADEEP KUMAR SINGH,600146,20094
19,Darbhanga(14),GOPAL JEE THAKUR,566630,178156
20,Muzaffarpur(15),RAJ BHUSHAN CHOUDHARY,619749,234927
21,Maharajganj(19),"JANARDAN SINGH ""SIGRIWAL""",529533,102651
22,Saran(20),RAJIV PRATAP RUDY,471752,13661
23,Ujiarpur(22),NITYANAND RAI,515965,60102
24,Begusarai(24),GIRIRAJ SINGH,649331,81480
25,Patna Sahib(30),RAVI SHANKAR PRASAD,588270,153846
26,Nawada(39),VIVEK THAKUR,410608,67670
27,North Goa(1),SHRIPAD YESSO NAIK,257326,116015
28,Kachchh(1),CHAVDA VINOD LAKHAMSHI,659574,268782
29,Patan(3),DABHI BHARATSINHJI SHANKARJI,591947,31876
30,Mahesana(4),HARIBHAI PATEL,686406,328046
31,Sabarkantha(5),SHOBHANABEN MAHENDRASINH BARAIYA,677318,155682
32,Gandhinagar(6),AMIT SHAH,1010972,744716
33,Ahmedabad East(7),HASMUKHBHAI PATEL (H.S.PATEL),770459,461755
34,Ahmedabad West(8),DINESHBHAI MAKWANA (ADVOCATE),611704,286437
35,Surendranagar(9),CHANDUBHAI CHHAGANBHAI SHIHORA,669749,261617
36,Rajkot(10),PARSHOTTAMBHAI RUPALA,857984,484260
37,Porbandar(11),DR. MANSUKH MANDAVIYA,633118,383360
38,Jamnagar(12),POONAMBEN HEMATBHAI MAADAM,620049,238008
39,Junagadh(13),CHUDASAMA RAJESHBHAI NARANBHAI,584049,135494
40,Amreli(14),BHARATBHAI MANUBHAI SUTARIYA,580872,321068
41,Bhavnagar(15),NIMUBEN JAYANTIBHAI BAMBHANIYA (NIMUBEN BAMBHANIYA),716883,455289
42,Anand(16),MITESH PATEL (BAKABHAI),612484,89939
43,Kheda(17),DEVUSINH CHAUHAN,744435,357758
44,Panchmahal(18),RAJPALSINH MAHENDRASINH JADAV,794579,509342
45,Dahod(19),JASWANTSINH SUMANBHAI BHABHOR,688715,333677
46,Vadodara(20),DR. HEMANG JOSHI,873189,582126
47,Chhota Udaipur(21),JASHUBHAI BHILUBHAI RATHVA,796589,398777
48,Bharuch(22),MANSUKHBHAI DHANJIBHAI VASAVA,608157,85696
49,Bardoli(23),PARBHUBHAI NAGARBHAI VASAVA,763950,230253
50,Surat(24),MUKESHKUMAR CHANDRAKAANT DALAL (Uncontested),-,-
51,Navsari(25),C R PATIL,1031065,773551
52,Valsad(26),DHAVAL LAXMANBHAI PATEL,764226,210704
53,KURUKSHETRA(2),NAVEEN JINDAL,542175,29021
54,KARNAL(5),MANOHAR LAL,739285,232577
55,BHIWANI-MAHENDRAGARH(8),DHARAMBIR SINGH,588664,41510
56,GURGAON(9),RAO INDERJIT SINGH,808336,75079
57,FARIDABAD(10),KRISHAN PAL,788569,172914
58,KANGRA(1),DR RAJEEV BHARDWAJ,632793,251895
59,MANDI(2),KANGNA RANAUT,537022,74755
60,HAMIRPUR(3),ANURAG SINGH THAKUR,607068,182357
61,SHIMLA(4),Suresh Kumar Kashyap,519748,91451
62,Belgaum(2),JAGADISH SHETTAR,762029,178437
63,Bagalkot(3),GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.,671039,68399
64,Bijapur(4),RAMESH JIGAJINAGI,672781,77229
65,Haveri(10),BASAVARAJ BOMMAI,705538,43513
66,Dharwad(11),PRALHAD JOSHI,716231,97324
67,Uttara Kannada(12),VISHWESHWAR HEGDE KAGERI,782495,337428
68,Shimoga(14),B.Y.RAGHAVENDRA,778721,243715
69,Udupi Chikmagalur(15),KOTA SRINIVAS POOJARY,732234,259175
70,Dakshina Kannada(17),CAPTAIN BRIJESH CHOWTA,764132,149208
71,Chitradurga(18),GOVIND MAKTHAPPA KARJOL,684890,48121
72,Tumkur(19),V. SOMANNA,720946,175594
73,Mysore(21),YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,795503,139262
74,Bangalore Rural(23),DR C N MANJUNATH,1079002,269647
75,Bangalore North(24),SHOBHA KARANDLAJE,986049,259476
76,Bangalore central(25),P C MOHAN,658915,32707
77,Bangalore South(26),TEJASVI SURYA,750830,277083
78,Chikkballapur(27),DR.K.SUDHAKAR,822619,163460
79,Thrissur(10),SURESH GOPI,412338,74686
80,MORENA(1),SHIVMANGAL SINGH TOMAR,515477,52530
81,BHIND(2),SANDHYA RAY,537065,64840
82,GWALIOR(3),BHARAT SINGH KUSHWAH,671535,70210
83,GUNA(4),JYOTIRADITYA M. SCINDIA,923302,540929
84,SAGAR(5),DR. LATA WANKHEDE,787979,471222
85,TIKAMGARH(6),DR. VIRENDRA KUMAR,715050,403312
86,DAMOH(7),RAHUL SINGH LODHI,709768,406426
87,KHAJURAHO(8),VISHNU DATT SHARMA (V.D.SHARMA),772774,541229
88,SATNA(9),GANESH SINGH,459728,84949
89,REWA(10),JANARDAN MISHRA,477459,193374
90,SIDHI(11),DR. RAJESH MISHRA,583559,206416
91,SHAHDOL(12),SMT. HIMADRI SINGH,711143,397340
92,JABALPUR(13),ASHISH DUBEY,790133,486674
93,MANDLA(14),FAGGAN SINGH KULASTE,751375,103846
94,BALAGHAT(15),BHARTI PARDHI,712660,174512
95,CHHINDWARA(16),BUNTY VIVEK SAHU,644738,113618
96,HOSHANGABAD(17),DARSHAN SINGH CHOUDHARY,812147,431696
97,VIDISHA(18),SHIVRAJ SINGH CHOUHAN,1116460,821408
98,BHOPAL(19),ALOK SHARMA,981109,501499
99,RAJGARH(20),RODMAL NAGAR,758743,146089
100,DEWAS(21),MAHENDRA SINGH SOLANKY,928941,425225
101,UJJAIN(22),ANIL FIROJIYA,836104,375860
102,MANDSOUR(23),SUDHEER GUPTA,945761,500655
103,RATLAM(24),ANITA NAGARSINGH CHOUHAN,795863,207232
104,DHAR(25),SAVITRI THAKUR,794449,218665
105,INDORE(26),SHANKAR LALWANI,1226751,1175092
106,KHARGONE(27),GAJENDRA SINGH PATEL,819863,135018
107,KHANDWA(28),GYANESHWAR PATIL,862679,269971
108,BETUL(29),DURGADAS (D. D.) UIKEY,848236,379761
109,Jalgaon(3),SMITA UDAY WAGH,674428,251594
110,Raver(4),KHADSE RAKSHA NIKHIL,630879,272183
111,Akola(6),ANUP SANJAY DHOTRE,457030,40626
112,Nagpur(10),NITIN JAIRAM GADKARI,655027,137603
113,Palghar(22),DR. HEMANT VISHNU SAVARA,601244,183306
114,Mumbai North(26),PIYUSH GOYAL,680146,357608
115,Pune(34),MURLIDHAR MOHOL,584728,123038
116,Satara(45),SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,571134,32771
117,Ratnagiri- Sindhudurg(46),NARAYAN TATU RANE,448514,47858
118,Bargarh(1),PRADEEP PUROHIT,716359,251667
119,Sundargarh(2),JUAL ORAM,494282,138808
120,Sambalpur(3),DHARMENDRA PRADHAN,592162,119836
121,Keonjhar(4),ANANTA NAYAK,573923,97042
122,Mayurbhanj(5),NABA CHARAN MAJHI,585971,219334
123,Balasore(6),PRATAP CHANDRA SARANGI,563865,147156
124,Bhadrak(7),AVIMANYU SETHI,573319,91544
125,Jajpur(8),RABINDRA NARAYAN BEHERA,534239,1587
126,Dhenkanal(9),RUDRA NARAYAN PANY,598721,76567
127,Bolangir(10),SANGEETA KUMARI SINGH DEO,617744,132664
128,Kalahandi(11),MALVIKA DEVI,544303,133813
129,Nabarangpur(12),BALABHADRA MAJHI,481396,87536
130,Kandhamal(13),SUKANTA KUMAR PANIGRAHI,416415,21371
131,Cuttack(14),BHARTRUHARI MAHTAB,531601,57077
132,Kendrapara(15),BAIJAYANT PANDA,615705,66536
133,Jagatsinghpur(16),BIBHU PRASAD TARAI,589093,40696
134,Puri(17),SAMBIT PATRA,629330,104709
135,Bhubaneswar(18),APARAJITA SARANGI,512519,35152
136,Aska(19),ANITA SUBHADARSHINI,494226,99974
137,Berhampur(20),DR. PRADEEP KUMAR PANIGRAHY,513102,165476
138,BIKANER (2),ARJUN RAM MEGHWAL,566737,55711
139,JAIPUR RURAL(6),RAO RAJENDRA SINGH,617877,1615
140,JAIPUR(7),MANJU SHARMA,886850,331767
141,ALWAR(8),BHUPENDER YADAV,631992,48282
142,AJMER (13),BHAGIRATH CHOUDHARY,747462,329991
143,PALI(15),P. P. CHAUDHARY,757389,245351
144,JODHPUR(16),GAJENDRA SINGH SHEKHAWAT,730056,115677
145,JALORE (18),LUMBARAM,796783,201543
146,UDAIPUR (19),MANNA LAL RAWAT,738286,261608
147,CHITTORGARH(21),CHANDRA PRAKASH JOSHI,888202,389877
148,RAJSAMAND(22),MAHIMA KUMARI MEWAR,781203,392223
149,BHILWARA(23),DAMODAR AGARWAL,807640,354606
150,KOTA(24),OM BIRLA,750496,41974
151,JHALAWAR-BARAN(25),DUSHYANT SINGH,865376,370989
152,Tripura West(1),BIPLAB KUMAR DEB,881341,611578
153,Tripura East(2),KRITI DEVI DEBBARMAN,777447,486819
154,Amroha(9),KANWAR SINGH TANWAR,476506,28670
155,Meerut(10),ARUN GOVIL,546469,10585
156,Ghaziabad(12),ATUL GARG,854170,336965
157,Gautam Buddha Nagar(13),DR. MAHESH SHARMA,857829,559472
158,Bulandshahr(14),DR BHOLA SINGH,597310,275134
159,Aligarh(15),SATISH KUMAR GAUTAM,501834,15647
160,Hathras(16),ANOOP PRADHAN BALMIKI,554746,247318
161,Mathura(17),HEMAMALINI DHARMENDRA DEOL,510064,293407
162,Agra(18),PROF S P SINGH BAGHEL,599397,271294
163,Fatehpur Sikri(19),RAJKUMAR CHAHAR,445657,43405
164,Bareilly(25),CHHATRA PAL SINGH GANGWAR,567127,34804
165,Pilibhit(26),JITIN PRASADA,607158,164935
166,Shahjahanpur(27),ARUN KUMAR SAGAR,592718,55379
167,Hardoi(31),JAI PRAKASH,486798,27856
168,Misrikh(32),ASHOK KUMAR RAWAT,475016,33406
169,Unnao(33),SWAMI SACHCHIDANAND HARI SAKSHI,616133,35818
170,Lucknow(35),RAJ NATH SINGH,612709,135159
171,Farrukhabad(40),MUKESH RAJPUT,487963,2678
172,Kanpur(43),RAMESH AWASTHI,443055,20968
173,Akbarpur(44),DEVENDRA SINGH ALIAS BHOLE SINGH,517423,44345
174,Jhansi(46),ANURAG SHARMA,690316,102614
175,Phulpur(51),PRAVEEN PATEL,452600,4332
176,Baharaich(56),ANAND KUMAR,518802,64227
177,Kaiserganj(57),KARAN BHUSHAN SINGH,571263,148843
178,Gonda(59),KIRTIVARDHAN SINGH,474258,46224
179,Domariyaganj(60),JAGDAMBIKA PAL,463303,42728
180,Maharajganj(63),PANKAJ CHAUDHARY,591310,35451
181,Gorakhpur(64),RAVINDRA SHUKLA ALIAS RAVI KISHAN,585834,103526
182,Kushi Nagar(65),VIJAY KUMAR DUBAY,516345,81790
183,Deoria(66),SHASHANK MANI,504541,34842
184,Bansgaon(67),KAMLESH PASWAN,428693,3150
185,Varanasi(77),NARENDRA MODI,612970,152513
186,Bhadohi(78),DR. VINOD KUMAR BIND,459982,44072
187,Alipurduars(2),MANOJ TIGGA,695314,75447
188,Jalpaiguri(3),DR JAYANTA KUMAR ROY,766568,86693
189,Darjeeling(4),RAJU BISTA,679331,178525
190,Raiganj(5),KARTICK CHANDRA PAUL,560897,68197
191,Balurghat(6),SUKANTA MAJUMDAR,574996,10386
192,Maldaha Uttar(7),KHAGEN MURMU,527023,77708
193,Ranaghat(13),JAGANNATH SARKAR,782396,186899
194,Bangaon(14),SHANTANU THAKUR,719505,73693
195,Tamluk(30),ABHIJIT GANGOPADHYAY,765584,77733
196,Kanthi(31),ADHIKARI SOUMENDU,763195,47764
197,Purulia(35),JYOTIRMAY SINGH MAHATO,578489,17079
198,Bishnupur(37),KHAN SAUMITRA,680130,5567
199,SURGUJA(1),CHINTAMANI MAHARAJ,713200,64822
200,RAIGARH(2),RADHESHYAM RATHIYA,808275,240391
201,JANJGIR-CHAMPA(3),KAMLESH JANGDE,678199,60000
202,BILASPUR(5),TOKHAN SAHU,724937,164558
203,RAJNANDGAON(6),SANTOSH PANDEY,712057,44411
204,DURG(7),VIJAY BAGHEL,956497,438226
205,RAIPUR(8),BRIJMOHAN AGRAWAL,1050351,575285
206,MAHASAMUND(9),ROOP KUMARI CHOUDHARY,703659,145456
207,BASTAR(10),MAHESH KASHYAP,458398,55245
208,KANKER(11),BHOJRAJ NAG,597624,1884
209,Godda(3),NISHIKANT DUBEY,693140,101813
210,Chatra(4),KALI CHARAN SINGH,574556,220959
211,Kodarma(5),ANNPURNA DEVI,791657,377014
212,Dhanbad(7),DULU MAHATO,789172,331583
213,Ranchi(8),SANJAY SETH,664732,120512
214,Jamshedpur(9),BIDYUT BARAN MAHATO,726174,259782
215,Palamau(13),VISHNU DAYAL RAM,770362,288807
216,Hazaribagh(14),MANISH JAISWAL,654613,276686
217,Tehri Garhwal(1),MALA RAJYA LAKSHMI SHAH,462603,272493
218,Garhwal(2),ANIL BALUNI,432159,163503
219,Almora(3),AJAY TAMTA,429167,234097
220,Nainital-Udhamsingh Nagar(4),AJAY BHATT,772671,334548
221,Haridwar(5),TRIVENDRA SINGH RAWAT,653808,164056
222,Adilabad (1),GODAM NAGESH,568168,90652
223,Karimnagar (3),BANDI SANJAY KUMAR,585116,225209
224,Nizamabad(4),ARVIND DHARMAPURI,592318,109241
225,Medak(6),MADHAVANENI RAGHUNANDAN RAO,471217,39139
226,Malkajgiri(7),EATALA RAJENDER,991042,391475
227,Secunderabad(8),G. KISHAN REDDY,473012,49944
228,Chevella(10),KONDA VISHWESHWAR REDDY,809882,172897
229,Mahbubnagar(11),ARUNA. D. K,510747,4500
230,Andaman and Nicobar Islands(1),BISHNU PADA RAY,102436,24396
231,Dadar and Nagar Haveli(2),DELKAR KALABEN MOHANBHAI,121074,57584
232,Chandni Chowk(1),PRAVEEN KHANDELWAL,516496,89325
233,North-East Delhi(2),MANOJ TIWARI,824451,138778
234,East Delhi(3),HARSH MALHOTRA,664819,93663
235,New Delhi(4),BANSURI SWARAJ,453185,78370
236,North-West Delhi(5),YOGENDER CHANDOLIYA,866483,290849
237,West Delhi(6),KAMALJEET SEHRAWAT,842658,199013
238,South Delhi(7),RAMVIR SINGH BIDHURI,692832,124333
239,UDHAMPUR(4),DR JITENDRA SINGH,571076,124373
240,JAMMU(5),JUGAL KISHORE,687588,135498
