SerialNo,ParliamentConstituency,WinningCandidate,TotalVotes,Margin
1,Buldhana(5),JADHAV PRATAPRAO GANPATRAO,349867,29479
2,Aurangabad(19),BHUMARE SANDIPANRAO ASARAM,476130,134650
3,Kalyan(24),DR SHRIKANT EKNATH SHINDE,589636,209144
4,Thane(25),NARESH GANPAT MHASKE,734231,217011
5,Mumbai North West(27),RAVINDRA DATTARAM WAIKAR,452644,48
6,Maval(33),SHRIRANG APPA CHANDU BARNE,692832,96615
7,Hatkanangale(48),DHAIRYASHEEL SAMBHAJIRAO MANE,520190,13426
1,Dhubri (2),RAKIBUL HUSSAIN,1471885,1012476
2,Nagaon(9),PRADYUT BORDOLOI,788850,212231
3,Jorhat(14),GAURAV GOGOI,751771,144393
4,Kishanganj(10),MOHAMMAD JAWED,402850,59692
5,Katihar(11),TARIQ ANWAR,567092,49863
6,Sasaram(34),MANOJ KUMAR,513004,19157
7,South Goa(2),CAPTAIN  VIRIATO FERNANDES,217836,13535
8,Banaskantha(2),GENIBEN NAGAJI THAKOR,671883,30406
9,AMBALA(1),VARUN CHAUDHRY,663657,49036
10,SIRSA(3),SELJA,733823,268497
11,HISAR(4),JAI PARKASH (J P) S/O HARIKESH,570424,63381
12,SONIPAT(6),SATPAL BRAHAMCHARI,548682,21816
13,ROHTAK(7),DEEPENDER SINGH HOODA,783578,345298
14,Chikkodi(1),PRIYANKA SATISH JARKIHOLI,713461,90834
15,Gulbarga(5),RADHAKRISHNA,652321,27205
16,Raichur(6),G. KUMAR NAIK.,670966,79781
17,Bidar(7),SAGAR ESHWAR KHANDRE,666317,128875
18,Koppal(8),K. RAJASHEKAR BASAVARAJ HITNAL,663511,46357
19,Bellary(9),E. TUKARAM,730845,98992
20,Davanagere(13),DR. PRABHA MALLIKARJUN,633059,26094
21,Hassan(16),SHREYAS. M. PATEL,672988,42649
22,Chamarajanagar(22),SUNIL BOSE,751671,188706
23,Kasaragod(1),RAJMOHAN UNNITHAN,490659,100649
24,Kannur(2),K. SUDHAKARAN,518524,108982
25,Vadakara(3),SHAFI PARAMBIL,557528,114506
26,Wayanad(4),RAHUL GANDHI,647445,364422
27,Kozhikode(5),M. K. RAGHAVAN,520421,146176
28,Palakkad(8),V K SREEKANDAN,421169,75283
29,Chalakudy(11),BENNY BEHANAN,394171,63754
30,Ernakulam(12),HIBI EDEN,482317,250385
31,Idukki(13),ADV. DEAN KURIAKOSE,432372,133727
32,Alappuzha(15),K. C VENUGOPAL,404560,63513
33,Mavelikkara (16),KODIKUNNIL SURESH,369516,10868
34,Pathanamthitta(17),ANTO ANTONY,367623,66119
35,Attingal(19),ADV ADOOR PRAKASH,328051,684
1,Srikakulam(2),KINJARAPU RAMMOHAN NAIDU,754328,327901
2,Vizianagaram(3),APPALANAIDU KALISETTI,743113,249351
3,Visakhapatnam(4),SRIBHARAT MATHUKUMILI,907467,504247
4,Amalapuram (SC)(7),G M HARISH (BALAYOGI),796981,342196
5,Eluru(10),PUTTA MAHESH KUMAR,746351,181857
6,Vijayawada(12),KESINENI SIVANATH (CHINNI),794154,282085
7,Guntur(13),DR CHANDRA SEKHAR PEMMASANI,864948,344695
8,Narsaraopet(14),LAVU SRIKRISHNA DEVARAYALU,807996,159729
1,Yavatmal- Washim(14),SANJAY UTTAMRAO DESHMUKH,594807,94473
2,Hingoli(15),AASHTIKAR PATIL NAGESH BAPURAO,492535,108602
3,Parbhani(17),JADHAV SANJAY ( BANDU ) HARIBHAU,601343,134061
4,Nashik(21),RAJABHAU (PARAG) PRAKASH WAJE,616729,162001
5,Mumbai North East(28),SANJAY DINA PATIL,450937,29861
6,Mumbai South Central(30),ANIL YESHWANT DESAI,395138,53384
7,Mumbai South(31),ARVIND GANPAT SAWANT,395655,52673
1,Anakapalle(5),C.M.RAMESH,762069,296530
36,Thiruvananthapuram(20),SHASHI THAROOR,358155,16077
37,Nandurbar(1),ADV GOWAAL KAGADA PADAVI,745998,159120
38,Dhule(2),BACHHAV SHOBHA DINESH,583866,3831
39,Amravati (7),BALWANT BASWANT WANKHADE,526271,19731
40,Ramtek (9),Shyamkumar (Babalu) Daulat Barve,613025,76768
41,Bhandara Gondiya(11),DR. PRASHANT YADAORAO PADOLE,587413,37380
42,Gadchiroli - Chimur(12),DR. KIRSAN NAMDEO,617792,141696
43,Chandrapur(13),DHANORKAR PRATIBHA SURESH ALIAS BALUBHAU,718410,260406
9,Bapatla (SC)(15),KRISHNA PRASAD TENNETI,717493,208031
10,Ongole(16),MAGUNTA SREENIVASULU REDDY,701894,50199
11,Nandyal(17),DR BYREDDY SHABARI,701131,111975
12,Kurnoolu(18),BASTIPATI NAGARAJU PANCHALINGALA,658914,111298
13,Ananthapur(19),AMBICA G LAKSHMINARAYANA VALMIKI,768245,188555
14,Hindupur(20),B K PARTHASARATHI,725534,132427
15,Nellore(22),PRABHAKAR REDDY VEMIREDDY,766202,245902
16,Chittoor(SC)(25),DAGGUMALLA PRASADA RAO,778071,220479
8,Shirdi (38),BHAUSAHEB RAJARAM WAKCHAURE,476900,50529
9,Osmanabad(40),OMPRAKASH BHUPALSINH ALIAS PAVAN RAJENIMBALKAR,748752,329846
1,Kairana(2),IQRA CHOUDHARY,528013,69116
2,Muzaffarnagar(3),HARENDRA SINGH MALIK,470721,24672
3,Moradabad(6),RUCHI VIRA,637363,105762
4,Rampur(7),MOHIBBULLAH,481503,87434
2,Rajahmundry(8),DAGGUBATI PURANDHESHWARI,726515,239139
3,Narsapuram(9),BHUPATHI RAJU SRINIVASA VARMA (B.J.P.VARMA),707343,276802
4,Arunachal West(1),KIREN RIJIJU,205417,100738
5,Arunachal East(2),TAPIR GAO,145581,30421
6,Darrang-Udalguri(4),DILIP SAIKIA,868387,329012
7,Guwahati(5),BIJULI KALITA MEDHI,894887,251090
8,Diphu(6),AMARSING TISSO,334620,147603
9,Karimganj(7),KRIPANATH MALLAH,545093,18360
10,Silchar (8),PARIMAL SUKLABAIDYA,652405,264311
11,Kaziranga(10),KAMAKHYA PRASAD TASA,897043,248947
1,Coochbehar(1),JAGADISH CHANDRA BARMA BASUNIA,788375,39250
2,Jangipur(9),KHALILUR RAHAMAN,544427,116637
3,Baharampur(10),PATHAN YUSUF,524516,85022
4,Murshidabad(11),ABU TAHER KHAN,682442,164215
5,Krishnanagar(12),MAHUA MOITRA,628789,56705
6,Barrackpur(15),PARTHA BHOWMICK,520231,64438
44,Nanded(16),CHAVAN VASANTRAO BALWANTRAO,528894,59442
45,Jalna(18),KALYAN VAIJINATHRAO KALE,607897,109958
46,Mumbai North Central(29),GAIKWAD VARSHA EKNATH,445545,16514
47,Latur (41),DR. KALGE SHIVAJI BANDAPPA,609021,61881
48,Solapur(42),PRANITI SUSHILKUMAR SHINDE,620225,74197
49,Kolhapur(47),CHHATRAPATI SHAHU SHAHAJI,754522,154964
50,Inner Manipur(1),ANGOMCHA BIMOL AKOIJAM,374017,109801
51,Outer Manipur(2),ALFRED KANNGAM S ARTHUR,384954,85418
5,Sambhal(8),ZIA UR REHMAN,571161,121494
6,Firozabad(20),AKSHAYA YADAV,543037,89312
7,Mainpuri(21),DIMPLE YADAV,598526,221639
8,Etah(22),DEVESH SHAKYA,475808,28052
9,Badaun(23),ADITYA YADAV,501855,34991
10,Aonla(24),NEERAJ MAURYA,492515,15969
11,Kheri(28),UTKARSH VERMA 'MADHUR',557365,34329
12,Dhaurahra(29),ANAND BHADAURIYA,443743,4449
12,Sonitpur(11),RANJIT DUTTA,775788,361408
13,Lakhimpur(12),PRADAN BARUAH,663122,201257
14,Dibrugarh(13),SARBANANDA SONOWAL,693762,279321
15,Paschim Champaran(2),DR.SANJAY JAISWAL,580421,136568
16,Purvi Champaran(3),RADHA MOHAN SINGH,542193,88287
17,Madhubani(6),ASHOK KUMAR YADAV,553428,151945
18,Araria(9),PRADEEP KUMAR SINGH,600146,20094
19,Darbhanga(14),GOPAL JEE THAKUR,566630,178156
20,Muzaffarpur(15),RAJ BHUSHAN CHOUDHARY,619749,234927
21,Maharajganj(19),"JANARDAN SINGH ""SIGRIWAL""",529533,102651
22,Saran(20),RAJIV PRATAP RUDY,471752,13661
7,Dum dum(16),SOUGATA RAY,528579,70660
8,Barasat(17),KAKOLI GHOSH DASTIDAR,692010,114189
9,Basirhat(18),SK NURUL ISLAM,803762,333547
10,Joynagar(19),PRATIMA MONDAL,894312,470219
11,Mathurapur(20),BAPI HALDAR,755731,201057
12,Diamond harbour(21),ABHISHEK BANERJEE,1048230,710930
13,Jadavpur(22),SAYANI GHOSH,717899,258201
14,Kolkata Dakshin(23),MALA ROY,615274,187231
15,Kolkata Uttar(24),BANDYOPADHYAY SUDIP,454696,92560
16,Howrah(25),PRASUN BANERJEE,626493,169442
1,Alathur (9),K.RADHAKRISHNAN,403447,20111
2,SIKAR(5),AMRARAM,659300,72896
3,DINDIGUL(22),SACHITHANANTHAM R,670149,443821
4,MADURAI(32),VENKATESAN S,430323,209409
1,Valmiki Nagar (1),SUNIL KUMAR,523422,98675
2,Sheohar(4),LOVELY ANAND,476612,29143
3,Sitamarhi(5),DEVESH CHANDRA THAKUR,515719,51356
4,Jhanjharpur(7),RAMPRIT MANDAL,533032,184169
5,Supaul(8),DILESHWAR KAMAIT,595038,169803
6,Madhepura(13),DINESH CHANDRA YADAV,640649,174534
7,Gopalganj(17),DR. ALOK KUMAR SUMAN,511866,127180
8,Siwan(18),VIJAYLAKSHMI DEVI,386508,92857
1,Araku (ST)(1),GUMMA THANUJA RANI,477005,50580
2,Kadapa(21),Y. S. AVINASH REDDY,605143,62695
3,Thirupathi(SC)(23),GURUMOORTHY MADDILA,632228,14569
4,Rajampet(24),P V MIDHUN REDDY,644844,76071
1,Vaishali(16),VEENA DEVI,567043,89634
2,Hajipur(21),CHIRAG PASWAN,615718,170105
3,Samastipur(23),SHAMBHAVI,579786,187251
4,Khagaria(25),RAJESH VERMA,538657,161131
5,Jamui(40),ARUN BHARTI,509046,112482
52,Tura(2),SALENG A SANGMA,383919,155241
53,Nagaland(1),S SUPONGMEREN JAMIR,401951,50984
54,Koraput(21),SAPTAGIRI SANKAR ULAKA,471393,147744
55,Gurdaspur(1),SUKHJINDER SINGH RANDHAWA,364043,82861
56,Amritsar(2),GURJEET SINGH AUJLA,255181,40301
57,Jalandhar(4),CHARANJIT SINGH CHANNI,390053,175993
58,Ludhiana(7),AMRINDER SINGH RAJA WARRING,322224,20942
59,Fatehgarh Sahib(8),AMAR SINGH,332591,34202
13,Mohanlalganj(34),R.K. CHAUDHARY,667869,70292
14,Sultanpur(38),RAMBHUAL NISHAD,444330,43174
15,Pratapgarh(39),SHIV PAL SINGH PATEL (DR. S P SINGH),441932,66206
16,Etawah(41),JITENDRA KUMAR DOHARE,490747,58419
17,Kannauj(42),AKHILESH YADAV,642292,170922
18,Jalaun(45),NARAYAN DAS AHIRWAR,530180,53898
19,Hamirpur(47),AJENDRA SINGH LODHI,490683,2629
20,Banda(48),KRISHNA DEVI SHIVSHANKER PATEL,406567,71210
23,Ujiarpur(22),NITYANAND RAI,515965,60102
24,Begusarai(24),GIRIRAJ SINGH,649331,81480
25,Patna Sahib(30),RAVI SHANKAR PRASAD,588270,153846
26,Nawada(39),VIVEK THAKUR,410608,67670
27,North Goa(1),SHRIPAD YESSO NAIK,257326,116015
28,Kachchh(1),CHAVDA VINOD LAKHAMSHI,659574,268782
29,Patan(3),DABHI  BHARATSINHJI  SHANKARJI,591947,31876
30,Mahesana(4),HARIBHAI PATEL,686406,328046
31,Sabarkantha(5),SHOBHANABEN MAHENDRASINH BARAIYA,677318,155682
32,Gandhinagar(6),AMIT SHAH,1010972,744716
33,Ahmedabad East(7),HASMUKHBHAI PATEL (H.S.PATEL),770459,461755
17,Uluberia(26),SAJDA AHMED,724622,218673
18,Srerampur(27),KALYAN BANERJEE,673970,174830
19,Hooghly(28),RACHNA BANERJEE,702744,76853
20,Arambagh(29),BAG MITALI,712587,6399
21,Ghatal(32),ADHIKARI DEEPAK (DEV),837990,182868
22,Jhargram(33),KALIPADA SAREN (KHERWAL),743478,174048
23,Medinipur(34),JUNE MALIAH,702192,27191
24,Bankura(36),ARUP CHAKRABORTY,641813,32778
25,Bardhaman Purba(38),DR. SHARMILA SARKAR,720302,160572
26,Bardhaman-Durgapur(39),AZAD KIRTI JHA,720667,137981
9,Bhagalpur(26),AJAY KUMAR MANDAL,536031,104868
10,Banka(27),GIRIDHARI YADAV,506678,103844
11,Munger(28),RAJIV RANJAN SINGH ALIAS LALAN SINGH,550146,80870
12,Nalanda(29),KAUSHALENDRA KUMAR,559422,169114
1,Hoshiarpur(5),DR. RAJ KUMAR CHABBEWAL,303859,44111
2,Anandpur Sahib(6),MALVINDER SINGH KANG,313217,10846
3,Sangrur(12),GURMEET SINGH MEET HAYER,364085,172560
1,Patliputra(31),MISHA BHARTI,613283,85174
2,Buxar(33),SUDHAKAR SINGH,438345,30091
3,Jahanabad(36),SURENDRA PRASAD YADAV,443035,142591
4,Aurangabad(37),ABHAY KUMAR SINHA,465567,79111
1,Hyderabad(9),ASADUDDIN OWAISI,661981,338087
1,Purnia(12),RAJESH RANJAN ALIAS PAPPU YADAV,567556,23847
2,Sangli(44),VISHAL (DADA) PRAKASHBAPU PATIL,571666,100053
3,Khadoor Sahib(3),AMRITPAL SINGH,404430,197120
4,Faridkot(9),SARABJEET SINGH KHALSA,298062,70053
5,Daman & Diu (1),PATEL UMESHBHAI BABUBHAI,42523,6225
6,BARAMULLA(1),ABDUL RASHID SHEIKH,472481,204142
7,Ladakh(1),MOHMAD HANEEFA,65259,27862
1,Mirzapur(79),ANUPRIYA PATEL,471631,37810
1,Sikkim(1),INDRA HANG SUBBA,164396,80830
60,Firozpur(10),SHER SINGH GHUBAYA,266626,3242
61,Patiala(13),DR DHARAMVIRA GANDHI,305616,14831
62,GANGANAGAR (1),KULDEEP INDORA,726492,88153
63,CHURU(3),RAHUL KASWAN,728211,72737
64,JHUNJHUNU     (4),BRIJENDRA SINGH OLA,553168,18235
65,BHARATPUR (9),SANJNA JATAV,579890,51983
21,Fatehpur(49),NARESH CHANDRA UTTAM PATEL,500328,33199
22,Kaushambi(50),PUSHPENDRA SAROJ,509787,103944
34,Ahmedabad West(8),DINESHBHAI MAKWANA (ADVOCATE),611704,286437
35,Surendranagar(9),CHANDUBHAI CHHAGANBHAI SHIHORA,669749,261617
36,Rajkot(10),PARSHOTTAMBHAI RUPALA,857984,484260
37,Porbandar(11),DR. MANSUKH MANDAVIYA,633118,383360
38,Jamnagar(12),POONAMBEN HEMATBHAI MAADAM,620049,238008
39,Junagadh(13),CHUDASAMA RAJESHBHAI NARANBHAI,584049,135494
40,Amreli(14),BHARATBHAI MANUBHAI SUTARIYA,580872,321068
27,Asansol(40),SHATRUGHAN PRASAD SINHA,605645,59564
28,Bolpur(41),ASIT KUMAR MAL,855633,327253
29,Birbhum(42),SATABDI ROY,717961,197650
1,BANSWARA (20),RAJ KUMAR ROAT,820831,247054
1,Bathinda(11),HARSIMRAT KAUR BADAL,376558,49656
66,KARAULI-DHOLPUR (10),BHAJAN LAL JATAV,530011,98945
67,DAUSA (11),MURARI LAL MEENA,646266,237340
68,TONK-SAWAI MADHOPUR (12),HARISH CHANDRA MEENA,623763,64949
69,BARMER(17),UMMEDA RAM BENIWAL,704676,118176
70,TIRUVALLUR(1),Sasikanth Senthil,796956,572155
71,KRISHNAGIRI(9),GOPINATH K,492883,192486
72,KARUR(23),JOTHIMANI. S,534906,166816
73,CUDDALORE(26),M.K. VISHNUPRASAD,455053,185896
23,Faizabad(54),AWADHESH PRASAD,554289,54567
24,Ambedkar Nagar(55),LALJI VERMA,544959,137247
25,Shrawasti(58),RAM SHIROMANI VERMA,511055,76673
26,Basti(61),RAM PRASAD CHAUDHARY,527005,100994
27,Sant Kabir Nagar(62),LAXMIKANT PAPPU NISHAD,498695,92170
28,Lalganj(68),DAROGA PRASAD SAROJ,439959,115023
29,Azamgarh(69),DHARMENDRA YADAV,508239,161035
30,Ghosi(70),RAJEEV RAI,503131,162943
31,Salempur(71),RAMASHANKAR RAJBHAR,405472,3573
32,Ballia(72),SANATAN PANDEY,467068,43384
41,Bhavnagar(15),NIMUBEN JAYANTIBHAI BAMBHANIYA (NIMUBEN BAMBHANIYA),716883,455289
42,Anand(16),MITESH PATEL (BAKABHAI),612484,89939
43,Kheda(17),DEVUSINH CHAUHAN,744435,357758
44,Panchmahal(18),RAJPALSINH MAHENDRASINH JADAV,794579,509342
45,Dahod(19),JASWANTSINH SUMANBHAI BHABHOR,688715,333677
46,Vadodara(20),DR. HEMANG JOSHI,873189,582126
1,Wardha(8),AMAR SHARADRAO KALE,533106,81648
2,Dindori (20),BHASKAR MURLIDHAR BHAGARE,577339,113199
3,Bhiwandi(23),BALYA MAMA - SURESH GOPINATH MHATRE,499464,66121
4,Baramati(35),SUPRIYA SULE,732312,158333
5,Shirur(36),DR. AMOL RAMSING KOLHE,698692,140951
6,Ahmednagar(37),NILESH DNYANDEV LANKE,624797,28929
7,Beed(39),BAJRANG MANOHAR SONWANE,683950,6553
8,Madha(43),MOHITE-PATIL DHAIRYASHEEL RAJSINH,622213,120837
1,Giridih(6),CHANDRA PRAKASH CHOUDHARY,451139,80880
1,MIZORAM(1),RICHARD VANLALHMANGAIHA,208552,68288
1,Nagina(5),CHANDRASHEKHAR,512552,151473
