SerialNo,ParliamentConstituency,WinningCandidate,TotalVotes,Margin
1,TIRUCHIRAPPALLI(24),DURAI VAIKO,542213,313094
1,Malappuram(6),E.T.  MOHAMMED BASHEER,644006,300118
2,Ponnani(7),DR. M.P ABDUSSAMAD SAMADANI,562516,235760
3,RAMANATHAPURAM(35),NAVASKANI K,509664,166782
74,MAYILADUTHURAI(28),SUDHA R,518459,271183
75,SIVAGANGA(31),KARTI P CHIDAMBARAM,427677,205664
76,VIRUDHUNAGAR(34),MANICKAM TAGORE B,385256,4379
77,TIRUNELVELI(38),ROBERT BRUCE C,502296,165620
78,KANNIYAKUMARI(39),VIJAYAKUMAR (Alias) VIJAY VASANTH,546248,179907
79,Saharanpur(1),IMRAN MASOOD,547967,64542
80,Sitapur(30),RAKESH RATHOR,531138,89641
81,Rae Bareli(36),RAHUL GANDHI,687649,390030
82,Amethi(37),KISHORI LAL,539228,167196
83,Allahabad(52),UJJWAL RAMAN SINGH,462145,58795
84,Barabanki(53),TANUJ PUNIA,719927,215704
33,Jaunpur(73),BABU SINGH KUSHWAHA,509130,99335
34,Machhlishahr(74),PRIYA SAROJ,451292,35850
35,Ghazipur(75),AFZAL ANSARI,539912,124861
36,Chandauli(76),BIRENDRA SINGH,474476,21565
37,Robertsganj(80),CHHOTELAL,465848,129234
47,Chhota Udaipur(21),JASHUBHAI BHILUBHAI RATHVA,796589,398777
48,Bharuch(22),MANSUKHBHAI DHANJIBHAI VASAVA,608157,85696
49,Bardoli(23),PARBHUBHAI NAGARBHAI VASAVA,763950,230253
50,Surat(24),MUKESHKUMAR CHANDRAKAANT DALAL (Uncontested),-,-
51,Navsari(25),C R PATIL,1031065,773551
52,Valsad(26),DHAVAL LAXMANBHAI PATEL,764226,210704
53,KURUKSHETRA(2),NAVEEN JINDAL,542175,29021
54,KARNAL(5),MANOHAR LAL,739285,232577
55,BHIWANI-MAHENDRAGARH(8),DHARAMBIR SINGH,588664,41510
56,GURGAON(9),RAO INDERJIT SINGH,808336,75079
1,Shillong(1),DR. RICKY ANDREW J. SYNGKON,571078,371910
1,CHENNAI NORTH(2),DR.KALANIDHI VEERASWAMY,497333,339222
2,CHENNAI SOUTH(3),T.SUMATHY (ALIAS) THAMIZHACHI THANGAPANDIAN,516628,225945
3,CHENNAI CENTRAL(4),DAYANIDHI MARAN,413848,244689
4,SRIPERUMBUDUR(5),T R BAALU,758611,487029
5,KANCHEEPURAM(6),SELVAM. G,586044,221473
6,ARAKKONAM(7),S JAGATHRATCHAKAN,563216,306559
1,Raigad(32),TATKARE SUNIL DATTATREY,508352,82784
1,NAGAUR(14),HANUMAN BENIWAL,596955,42225
85,Maldaha Dakshin(8),ISHA KHAN CHOUDHURY,572395,128368
86,KORBA(4),JYOTSNA CHARANDAS MAHANT,570182,43283
87,Khunti(11),KALI CHARAN MUNDA,511647,149675
88,Lohardaga(12),SUKHDEO BHAGAT,483038,139138
89,Peddapalle (2),VAMSI KRISHNA GADDAM,475587,131364
90,Zahirabad(5),SURESH KUMAR SHETKAR,528418,46188
91,Nagarkurnool(12),DR.MALLU RAVI,465072,94414
92,Nalgonda(13),KUNDURU RAGHUVEER,784337,559905
57,FARIDABAD(10),KRISHAN PAL,788569,172914
58,KANGRA(1),DR RAJEEV BHARDWAJ,632793,251895
59,MANDI(2),KANGNA RANAUT,537022,74755
60,HAMIRPUR(3),ANURAG SINGH THAKUR,607068,182357
61,SHIMLA(4),Suresh Kumar Kashyap,519748,91451
62,Belgaum(2),JAGADISH SHETTAR,762029,178437
63,Bagalkot(3),GADDIGOUDAR. PARVATAGOUDA. CHANDANAGOUDA.,671039,68399
64,Bijapur(4),RAMESH JIGAJINAGI,672781,77229
65,Haveri(10),BASAVARAJ BOMMAI,705538,43513
66,Dharwad(11),PRALHAD JOSHI,716231,97324
7,VELLORE(8),DM KATHIR ANAND,568692,215702
8,DHARMAPURI(10),MANI. A.,432667,21300
9,TIRUVANNAMALAI(11),"ANNADURAI, C.N.",547379,233931
10,ARANI(12),THARANIVENTHAN M S,500099,208766
11,KALLAKURICHI(14),MALAIYARASAN D,561589,53784
12,SALEM(15),SELVAGANAPATHI T M,566085,70357
13,NAMAKKAL(16),MATHESWARAN V S,462036,29112
14,ERODE(17),K E PRAKASH,562339,236566
15,NILGIRIS(19),RAJA A,473212,240585
16,COIMBATORE(20),GANAPATHY RAJKUMAR P,568200,118068
17,POLLACHI(21),ESWARASAMY K,533377,252042
1,Kollam(18),N K PREMACHANDRAN,443628,150302
93,Bhongir (14),CHAMALA KIRAN KUMAR REDDY,629143,222170
94,Warangal(15),KADIYAM KAVYA,581294,220339
95,Mahabubabad  (16),BALRAM NAIK PORIKA,612774,349165
96,Khammam (17),RAMASAHAYAM RAGHURAM REDDY,766929,467847
97,Chandigarh(1),MANISH TEWARI,216657,2504
98,Lakshadweep(1),MUHAMMED HAMDULLAH SAYEED,25726,2647
99,PUDUCHERRY(1),VE VAITHILINGAM,426005,136516
67,Uttara Kannada(12),VISHWESHWAR HEGDE KAGERI,782495,337428
68,Shimoga(14),B.Y.RAGHAVENDRA,778721,243715
69,Udupi Chikmagalur(15),KOTA SRINIVAS POOJARY,732234,259175
70,Dakshina Kannada(17),CAPTAIN BRIJESH CHOWTA,764132,149208
71,Chitradurga(18),GOVIND MAKTHAPPA KARJOL,684890,48121
72,Tumkur(19),V. SOMANNA,720946,175594
73,Mysore(21),YADUVEER KRISHNADATTA CHAMARAJA WADIYAR,795503,139262
74,Bangalore Rural(23),DR C N MANJUNATH,1079002,269647
75,Bangalore North(24),SHOBHA KARANDLAJE,986049,259476
76,Bangalore central(25),P C MOHAN,658915,32707
18,PERAMBALUR(25),ARUN NEHRU,603209,389107
19,THANJAVUR(30),MURASOLI S,502245,319583
20,THENI(33),THANGA TAMILSELVAN,571493,278825
21,THOOTHUKKUDI(36),KANIMOZHI KARUNANIDHI,540729,392738
22,TENKASI(37),DR RANI SRI KUMAR,425679,196199
77,Bangalore South(26),TEJASVI SURYA,750830,277083
78,Chikkballapur(27),DR.K.SUDHAKAR,822619,163460
79,Thrissur(10),SURESH GOPI,412338,74686
80,MORENA(1),SHIVMANGAL SINGH TOMAR,515477,52530
81,BHIND(2),SANDHYA RAY,537065,64840
82,GWALIOR(3),BHARAT SINGH KUSHWAH,671535,70210
83,GUNA(4),JYOTIRADITYA M. SCINDIA,923302,540929
84,SAGAR(5),DR. LATA WANKHEDE,787979,471222
85,TIKAMGARH(6),DR. VIRENDRA KUMAR,715050,403312
1,Kottayam(14),ADV K FRANCIS GEORGE,364631,87266
1,Gaya(38),JITAN RAM MANJHI,494960,101812
86,DAMOH(7),RAHUL SINGH LODHI,709768,406426
87,KHAJURAHO(8),VISHNU DATT SHARMA (V.D.SHARMA),772774,541229
88,SATNA(9),GANESH SINGH,459728,84949
89,REWA(10),JANARDAN MISHRA,477459,193374
90,SIDHI(11),DR. RAJESH MISHRA,583559,206416
91,SHAHDOL(12),SMT. HIMADRI SINGH,711143,397340
92,JABALPUR(13),ASHISH DUBEY,790133,486674
93,MANDLA(14),FAGGAN SINGH KULASTE,751375,103846
94,BALAGHAT(15),BHARTI PARDHI,712660,174512
95,CHHINDWARA(16),BUNTY VIVEK SAHU,644738,113618
96,HOSHANGABAD(17),DARSHAN SINGH CHOUDHARY,812147,431696
97,VIDISHA(18),SHIVRAJ SINGH CHOUHAN,1116460,821408
98,BHOPAL(19),ALOK SHARMA,981109,501499
99,RAJGARH(20),RODMAL NAGAR,758743,146089
100,DEWAS(21),MAHENDRA SINGH SOLANKY,928941,425225
101,UJJAIN(22),ANIL FIROJIYA,836104,375860
102,MANDSOUR(23),SUDHEER GUPTA,945761,500655
103,RATLAM(24),ANITA NAGARSINGH CHOUHAN,795863,207232
104,DHAR(25),SAVITRI THAKUR,794449,218665
105,INDORE(26),SHANKAR LALWANI,1226751,1175092
106,KHARGONE(27),GAJENDRA SINGH PATEL,819863,135018
107,KHANDWA(28),GYANESHWAR PATIL,862679,269971
108,BETUL(29),DURGADAS (D. D.) UIKEY,848236,379761
109,Jalgaon(3),SMITA UDAY WAGH,674428,251594
110,Raver(4),KHADSE RAKSHA NIKHIL,630879,272183
111,Akola(6),ANUP SANJAY DHOTRE,457030,40626
112,Nagpur(10),NITIN JAIRAM GADKARI,655027,137603
113,Palghar(22),DR. HEMANT VISHNU SAVARA,601244,183306
114,Mumbai North(26),PIYUSH GOYAL,680146,357608
115,Pune(34),MURLIDHAR MOHOL,584728,123038
116,Satara(45),SHRIMANT CHH UDAYANRAJE PRATAPSINHAMAHARAJ BHONSLE,571134,32771
117,Ratnagiri- Sindhudurg(46),NARAYAN TATU RANE,448514,47858
118,Bargarh(1),PRADEEP PUROHIT,716359,251667
119,Sundargarh(2),JUAL ORAM,494282,138808
120,Sambalpur(3),DHARMENDRA PRADHAN,592162,119836
121,Keonjhar(4),ANANTA NAYAK,573923,97042
122,Mayurbhanj(5),NABA CHARAN MAJHI,585971,219334
123,Balasore(6),PRATAP CHANDRA SARANGI,563865,147156
124,Bhadrak(7),AVIMANYU SETHI,573319,91544
125,Jajpur(8),RABINDRA NARAYAN BEHERA,534239,1587
126,Dhenkanal(9),RUDRA NARAYAN PANY,598721,76567
127,Bolangir(10),SANGEETA KUMARI SINGH DEO,617744,132664
128,Kalahandi(11),MALVIKA DEVI,544303,133813
129,Nabarangpur(12),BALABHADRA MAJHI,481396,87536
130,Kandhamal(13),SUKANTA KUMAR PANIGRAHI,416415,21371
131,Cuttack(14),BHARTRUHARI MAHTAB,531601,57077
132,Kendrapara(15),BAIJAYANT PANDA,615705,66536
133,Jagatsinghpur(16),BIBHU PRASAD TARAI,589093,40696
134,Puri(17),SAMBIT PATRA,629330,104709
135,Bhubaneswar(18),APARAJITA SARANGI,512519,35152
136,Aska(19),ANITA SUBHADARSHINI,494226,99974
137,Berhampur(20),DR. PRADEEP KUMAR PANIGRAHY,513102,165476
138,BIKANER (2),ARJUN RAM MEGHWAL,566737,55711
139,JAIPUR RURAL(6),RAO RAJENDRA SINGH,617877,1615
140,JAIPUR(7),MANJU SHARMA,886850,331767
141,ALWAR(8),BHUPENDER YADAV,631992,48282
142,AJMER (13),BHAGIRATH CHOUDHARY,747462,329991
143,PALI(15),P. P. CHAUDHARY,757389,245351
144,JODHPUR(16),GAJENDRA SINGH SHEKHAWAT,730056,115677
145,JALORE (18),LUMBARAM,796783,201543
146,UDAIPUR (19),MANNA LAL RAWAT,738286,261608
147,CHITTORGARH(21),CHANDRA PRAKASH JOSHI,888202,389877
148,RAJSAMAND(22),MAHIMA KUMARI MEWAR,781203,392223
149,BHILWARA(23),DAMODAR AGARWAL,807640,354606
150,KOTA(24),OM BIRLA,750496,41974
151,JHALAWAR-BARAN(25),DUSHYANT SINGH,865376,370989
152,Tripura West(1),BIPLAB KUMAR DEB,881341,611578
153,Tripura East(2),KRITI DEVI DEBBARMAN,777447,486819
154,Amroha(9),KANWAR SINGH TANWAR,476506,28670
155,Meerut(10),ARUN GOVIL,546469,10585
156,Ghaziabad(12),ATUL GARG,854170,336965
157,Gautam Buddha Nagar(13),DR. MAHESH SHARMA,857829,559472
158,Bulandshahr(14),DR BHOLA SINGH,597310,275134
159,Aligarh(15),SATISH KUMAR GAUTAM,501834,15647
160,Hathras(16),ANOOP PRADHAN BALMIKI,554746,247318
161,Mathura(17),HEMAMALINI DHARMENDRA DEOL,510064,293407
162,Agra(18),PROF S P SINGH BAGHEL,599397,271294
163,Fatehpur Sikri(19),RAJKUMAR CHAHAR,445657,43405
164,Bareilly(25),CHHATRA PAL SINGH GANGWAR,567127,34804
165,Pilibhit(26),JITIN PRASADA,607158,164935
166,Shahjahanpur(27),ARUN KUMAR SAGAR,592718,55379
167,Hardoi(31),JAI PRAKASH,486798,27856
168,Misrikh(32),ASHOK KUMAR RAWAT,475016,33406
169,Unnao(33),SWAMI SACHCHIDANAND HARI SAKSHI,616133,35818
170,Lucknow(35),RAJ NATH SINGH,612709,135159
171,Farrukhabad(40),MUKESH RAJPUT,487963,2678
172,Kanpur(43),RAMESH AWASTHI,443055,20968
173,Akbarpur(44),DEVENDRA SINGH ALIAS BHOLE SINGH,517423,44345
174,Jhansi(46),ANURAG SHARMA,690316,102614
175,Phulpur(51),PRAVEEN PATEL,452600,4332
176,Baharaich(56),ANAND KUMAR,518802,64227
177,Kaiserganj(57),KARAN BHUSHAN SINGH,571263,148843
178,Gonda(59),KIRTIVARDHAN SINGH,474258,46224
179,Domariyaganj(60),JAGDAMBIKA PAL,463303,42728
180,Maharajganj(63),PANKAJ CHAUDHARY,591310,35451
181,Gorakhpur(64),RAVINDRA SHUKLA ALIAS RAVI KISHAN,585834,103526
182,Kushi Nagar(65),VIJAY KUMAR DUBAY,516345,81790
183,Deoria(66),SHASHANK MANI,504541,34842
184,Bansgaon(67),KAMLESH PASWAN,428693,3150
185,Varanasi(77),NARENDRA MODI,612970,152513
186,Bhadohi(78),DR. VINOD KUMAR BIND,459982,44072
187,Alipurduars(2),MANOJ TIGGA,695314,75447
188,Jalpaiguri(3),DR JAYANTA KUMAR ROY,766568,86693
189,Darjeeling(4),RAJU BISTA,679331,178525
190,Raiganj(5),KARTICK CHANDRA PAUL,560897,68197
191,Balurghat(6),SUKANTA MAJUMDAR,574996,10386
192,Maldaha Uttar(7),KHAGEN MURMU,527023,77708
193,Ranaghat(13),JAGANNATH SARKAR,782396,186899
194,Bangaon(14),SHANTANU THAKUR,719505,73693
195,Tamluk(30),ABHIJIT GANGOPADHYAY,765584,77733
196,Kanthi(31),ADHIKARI SOUMENDU,763195,47764
197,Purulia(35),JYOTIRMAY SINGH MAHATO,578489,17079
198,Bishnupur(37),KHAN SAUMITRA,680130,5567
199,SURGUJA(1),CHINTAMANI MAHARAJ,713200,64822
200,RAIGARH(2),RADHESHYAM RATHIYA,808275,240391
201,JANJGIR-CHAMPA(3),KAMLESH JANGDE,678199,60000
202,BILASPUR(5),TOKHAN SAHU,724937,164558
203,RAJNANDGAON(6),SANTOSH PANDEY,712057,44411
204,DURG(7),VIJAY BAGHEL,956497,438226
205,RAIPUR(8),BRIJMOHAN AGRAWAL,1050351,575285
206,MAHASAMUND(9),ROOP KUMARI CHOUDHARY,703659,145456
207,BASTAR(10),MAHESH KASHYAP,458398,55245
208,KANKER(11),BHOJRAJ NAG,597624,1884
209,Godda(3),NISHIKANT DUBEY,693140,101813
210,Chatra(4),KALI CHARAN SINGH,574556,220959
211,Kodarma(5),ANNPURNA DEVI,791657,377014
212,Dhanbad(7),DULU MAHATO,789172,331583
213,Ranchi(8),SANJAY SETH,664732,120512
214,Jamshedpur(9),BIDYUT BARAN MAHATO,726174,259782
215,Palamau(13),VISHNU DAYAL RAM,770362,288807
216,Hazaribagh(14),MANISH JAISWAL,654613,276686
217,Tehri Garhwal(1),MALA RAJYA LAKSHMI SHAH,462603,272493
218,Garhwal(2),ANIL BALUNI,432159,163503
219,Almora(3),AJAY TAMTA,429167,234097
220,Nainital-Udhamsingh Nagar(4),AJAY BHATT,772671,334548
221,Haridwar(5),TRIVENDRA SINGH RAWAT,653808,164056
222,Adilabad (1),GODAM NAGESH,568168,90652
223,Karimnagar (3),BANDI SANJAY KUMAR,585116,225209
224,Nizamabad(4),ARVIND DHARMAPURI,592318,109241
225,Medak(6),MADHAVANENI RAGHUNANDAN RAO,471217,39139
226,Malkajgiri(7),EATALA RAJENDER,991042,391475
227,Secunderabad(8),G. KISHAN REDDY,473012,49944
228,Chevella(10),KONDA VISHWESHWAR REDDY,809882,172897
229,Mahbubnagar(11),ARUNA. D. K,510747,4500
230,Andaman & Nicobar Islands(1),BISHNU PADA RAY,102436,24396
231,Dadar & Nagar Haveli(2),DELKAR KALABEN MOHANBHAI,121074,57584
232,Chandni Chowk(1),PRAVEEN KHANDELWAL,516496,89325
233,North-East Delhi(2),MANOJ TIWARI,824451,138778
234,East Delhi(3),HARSH MALHOTRA,664819,93663
235,New Delhi(4),BANSURI SWARAJ,453185,78370
236,North-West Delhi(5),YOGENDER CHANDOLIYA,866483,290849
237,West Delhi(6),KAMALJEET SEHRAWAT,842658,199013
238,South Delhi(7),RAMVIR SINGH BIDHURI,692832,124333
239,UDHAMPUR(4),DR JITENDRA SINGH,571076,124373
240,JAMMU(5),JUGAL KISHORE,687588,135498
1,Kokrajhar (1),JOYANTA BASUMATARY,488995,51583
1,Bijnor(4),CHANDAN CHAUHAN,404493,37508
2,Baghpat(11),DR RAJKUMAR SANGWAN,488967,159459
1,TIRUPPUR(18),"SUBBARAYAN, K.",472739,125928
2,NAGAPATTINAM(29),SELVARAJ V,465044,208957
1,VILUPPURAM(13),RAVIKUMAR. D,477033,70703
2,CHIDAMBARAM(27),THIRUMAAVALAVAN THOL,505084,103554
1,Mandya(20),H.D. KUMARASWAMY,851881,284620
2,Kolar(28),M. MALLESH BABU,691481,71388
1,Arrah(32),SUDAMA PRASAD,529382,59808
2,Karakat(35),RAJA RAM SINGH,380581,105858
1,Rajmahal(1),VIJAY KUMAR HANSDAK,613371,178264
2,Dumka(2),NALIN SOREN,547370,22527
3,Singhbhum(10),JOBA MAJHI,520164,168402
1,SRINAGAR(2),AGA SYED RUHULLAH MEHDI,356866,188416
2,ANANTNAG-RAJOURI(3),MIAN ALTAF AHMAD,521836,281794
1,Barpeta(3),PHANI BHUSAN CHOUDHURY,860113,222351
1,Kakinada(6),TANGELLA UDAY SRINIVAS (TEA TIME UDAY),729699,229491
2,Machilipatnam(11),BALASHOWRY VALLABHANENI,724439,223179
